snapshot_id,snapshot_datetime_sgt,exercise,ballot_group_id,town,projects_in_group,flat_type,applicant_group,units_offered,applicants,application_rate,value_type,source_name,source_url,note
SNAP_D2,2026-02-05T08:00,2026-02_BTO,TAMPINES|2-room Flexi,Tampines,Tampines Nova,2-room Flexi,first_timer_single,122,,50.0,reported_approx,AsiaOne / HDB Flat Portal,https://www.asiaone.com/singapore/bto-feb-2026-application-rates-tampines-nova,Reported as about 50 applications per unit
SNAP_D2,2026-02-05T08:00,2026-02_BTO,BUKIT_MERAH|2-room Flexi,Bukit Merah,Redhill Peaks,2-room Flexi,first_timer_single,368,,2.5,reported,AsiaOne / HDB Flat Portal,https://www.asiaone.com/singapore/bto-feb-2026-application-rates-tampines-nova,
SNAP_D2,2026-02-05T08:00,2026-02_BTO,TOA_PAYOH|2-room Flexi,Toa Payoh,Kim Keat Crest,2-room Flexi,first_timer_single,277,,1.2,reported,AsiaOne / HDB Flat Portal,https://www.asiaone.com/singapore/bto-feb-2026-application-rates-tampines-nova,
SNAP_D2,2026-02-05T08:00,2026-02_BTO,TOA_PAYOH|ALL,Toa Payoh,Kim Keat Crest,All flat types,first_timer_family,1151,,0.2,reported,AsiaOne / HDB Flat Portal,https://www.asiaone.com/singapore/bto-feb-2026-application-rates-tampines-nova,Project-level figure quoted by AsiaOne
SNAP_D2,2026-02-05T08:00,2026-02_BTO,TOA_PAYOH|ALL,Toa Payoh,Kim Keat Crest,All flat types,second_timer_family,1151,,1.0,reported,AsiaOne / HDB Flat Portal,https://www.asiaone.com/singapore/bto-feb-2026-application-rates-tampines-nova,Project-level figure quoted by AsiaOne
SNAP_D2,2026-02-05T08:00,2026-02_BTO,SEMBAWANG|2-room Flexi,Sembawang,Sembawang Voyage;Sembawang Deck,2-room Flexi,first_timer_single,479,,2.5,upper_bound,AsiaOne / HDB Flat Portal,https://www.asiaone.com/singapore/bto-feb-2026-application-rates-tampines-nova,Reported that FT-single rates at the four non-Nova projects did not exceed 2.5
SNAP_D7,2026-02-10T12:00,2026-02_BTO,TAMPINES|4-room,Tampines,Tampines Bliss;Tampines Nova,4-room,first_timer_family,337,2686,5.8,reported,Uchify / HDB Flat Portal,https://uchify.com/hdb-bto-feb-2026-application-update/,"2,686 applications across both Tampines projects"
SNAP_D7,2026-02-10T12:00,2026-02_BTO,TAMPINES|4-room,Tampines,Tampines Bliss;Tampines Nova,4-room,second_timer_family,337,2686,28.3,reported,Uchify / HDB Flat Portal,https://uchify.com/hdb-bto-feb-2026-application-update/,
SNAP_D7,2026-02-10T12:00,2026-02_BTO,TOA_PAYOH|2-room Flexi,Toa Payoh,Kim Keat Crest,2-room Flexi,all_groups,277,623,2.25,derived,Uchify / HDB Flat Portal,https://uchify.com/hdb-bto-feb-2026-application-update/,Rate derived as applicants/units; HDB publishes rates per applicant group
SNAP_D7,2026-02-10T12:00,2026-02_BTO,TOA_PAYOH|3R+4R,Toa Payoh,Kim Keat Crest,3-room + 4-room,all_groups,874,869,0.99,derived,Uchify / HDB Flat Portal,https://uchify.com/hdb-bto-feb-2026-application-update/,Source quoted 847 units; Annex A gives 87+787=874. Units corrected to Annex A
SNAP_D8,2026-02-11T14:00,2026-02_BTO,BUKIT_MERAH|3-room,Bukit Merah,Redhill Peaks,3-room,first_timer_family,91,216,0.7,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
