offering_id,project_id,project_name,town,ballot_group_id,classification,flat_type,flat_variant,lease_years,floor_area_sqm,internal_floor_area_sqm,units,price_min_sgd,price_max_sgd,price_includes_floor_finishes,price_min_excl_finishes_sgd,price_max_excl_finishes_sgd,hdb_illustrative_ehg_sgd,price_min_after_illustrative_ehg_sgd,resale_comparable_min_sgd,resale_comparable_max_sgd,discount_vs_resale_min_pct,waiting_time_months,mop_years,subsidy_recovery_pct,income_ceiling_sgd,income_ceiling_short_lease_sgd,eligible_singles,eligible_families,min_age_single,option_fee_sgd,source
F26-SBV-01,SBV,Sembawang Voyage,Sembawang,SEMBAWANG|2-room Flexi,Standard,2-room Flexi,Type 1 (40 sqm),99,40,38,81,150000,187000,FALSE,,,120000,30000,370000,400000,59.5,44,5,0,7000,14000,TRUE,TRUE,35,500,HDB Annex A (Feb 2026 BTO/SBF) https://www.hdb.gov.sg/-/media/hdb-pulse/news/2026/hdb-launches-9012-flats-in-february-2026-bto-and-sbf-exercises/Annex-A.pdf
F26-SBV-02,SBV,Sembawang Voyage,Sembawang,SEMBAWANG|2-room Flexi,Standard,2-room Flexi,Type 2 (48 sqm),99,48,46,210,175000,228000,FALSE,,,120000,55000,370000,400000,52.7,44,5,0,7000,14000,TRUE,TRUE,35,500,HDB Annex A (Feb 2026 BTO/SBF) https://www.hdb.gov.sg/-/media/hdb-pulse/news/2026/hdb-launches-9012-flats-in-february-2026-bto-and-sbf-exercises/Annex-A.pdf
F26-SBV-03,SBV,Sembawang Voyage,Sembawang,SEMBAWANG|4-room,Standard,4-room,,99,93,90,454,304000,422000,FALSE,,,80000,224000,585000,675000,48.0,44,5,0,14000,,FALSE,TRUE,,2000,HDB Annex A (Feb 2026 BTO/SBF) https://www.hdb.gov.sg/-/media/hdb-pulse/news/2026/hdb-launches-9012-flats-in-february-2026-bto-and-sbf-exercises/Annex-A.pdf
F26-SBV-04,SBV,Sembawang Voyage,Sembawang,SEMBAWANG|5-room,Standard,5-room,,99,113,110,428,439000,582000,FALSE,,,55000,384000,715000,820000,38.6,44,5,0,14000,,FALSE,TRUE,,2000,HDB Annex A (Feb 2026 BTO/SBF) https://www.hdb.gov.sg/-/media/hdb-pulse/news/2026/hdb-launches-9012-flats-in-february-2026-bto-and-sbf-exercises/Annex-A.pdf
F26-SBD-05,SBD,Sembawang Deck,Sembawang,SEMBAWANG|2-room Flexi,Standard,2-room Flexi,Type 1 (40 sqm),99,40,38,42,158000,190000,TRUE,154000,187000,120000,38000,370000,400000,57.3,33,5,0,7000,14000,TRUE,TRUE,35,500,HDB Annex A (Feb 2026 BTO/SBF) https://www.hdb.gov.sg/-/media/hdb-pulse/news/2026/hdb-launches-9012-flats-in-february-2026-bto-and-sbf-exercises/Annex-A.pdf
F26-SBD-06,SBD,Sembawang Deck,Sembawang,SEMBAWANG|2-room Flexi,Standard,2-room Flexi,Type 2 (48 sqm),99,48,46,146,175000,237000,TRUE,172000,234000,120000,55000,370000,400000,52.7,33,5,0,7000,14000,TRUE,TRUE,35,500,HDB Annex A (Feb 2026 BTO/SBF) https://www.hdb.gov.sg/-/media/hdb-pulse/news/2026/hdb-launches-9012-flats-in-february-2026-bto-and-sbf-exercises/Annex-A.pdf
F26-SBD-07,SBD,Sembawang Deck,Sembawang,SEMBAWANG|3-room,Standard,3-room,,99,69,66,84,261000,343000,TRUE,255000,337000,105000,156000,460000,560000,43.3,33,5,0,14000,,FALSE,TRUE,,1000,HDB Annex A (Feb 2026 BTO/SBF) https://www.hdb.gov.sg/-/media/hdb-pulse/news/2026/hdb-launches-9012-flats-in-february-2026-bto-and-sbf-exercises/Annex-A.pdf
F26-SBD-08,SBD,Sembawang Deck,Sembawang,SEMBAWANG|4-room,Standard,4-room,,99,93,90,271,338000,426000,TRUE,330000,418000,80000,258000,585000,675000,42.2,33,5,0,14000,,FALSE,TRUE,,2000,HDB Annex A (Feb 2026 BTO/SBF) https://www.hdb.gov.sg/-/media/hdb-pulse/news/2026/hdb-launches-9012-flats-in-february-2026-bto-and-sbf-exercises/Annex-A.pdf
F26-SBD-09,SBD,Sembawang Deck,Sembawang,SEMBAWANG|5-room,Standard,5-room,,99,113,110,234,479000,585000,TRUE,469000,576000,55000,424000,715000,820000,33.0,33,5,0,14000,,FALSE,TRUE,,2000,HDB Annex A (Feb 2026 BTO/SBF) https://www.hdb.gov.sg/-/media/hdb-pulse/news/2026/hdb-launches-9012-flats-in-february-2026-bto-and-sbf-exercises/Annex-A.pdf
F26-TPB-10,TPB,Tampines Bliss,Tampines,TAMPINES|3-room,Standard,3-room,,99,69,66,80,363000,444000,TRUE,357000,438000,105000,258000,530000,580000,31.5,23,5,0,14000,,FALSE,TRUE,,1000,HDB Annex A (Feb 2026 BTO/SBF) https://www.hdb.gov.sg/-/media/hdb-pulse/news/2026/hdb-launches-9012-flats-in-february-2026-bto-and-sbf-exercises/Annex-A.pdf
